artist	category	genre	title	tracks	year	id	merged_values
Backstreet Boys	Blues	Pop	Millennium	1000	1999	10000	
Various	Data		Frankfurt Trance Vol. 04 Cd1	1001		100001	
No Return	Data	Data	Self Mutilation	1002	2019	100002	
Ã¤â¸â­ã¦?â€˜ã©â€ºâ€¦ã¤â¿å	Pop	Pop	Ã¦æ’â³ã£?â€žã¥â€¡âºã£?â®ã£?â€¹ã£?â€˜ã£â€šâ€°	1003	1989	100003	
Emanuel	Data	Data	Felicidade	1004	1998	100004	
Ã¥å â€¡ã¥â€ºâ£ã¥â€ºâ€ºã¥â­â£	Musical	Musical	Catsã£â‚¬â‚¬ã£â€šâªã£æ’âªã£â€šâ¸ã£æ’å ã£æ’â«ã¯â½â¥ã£â€šâ­ã£æ’â£ã£â€šâ¹ã£æ’ë†	1005		100005	
Luv Lite Massive	Electronic	Electronic	One Love	1006	2014	100006	
Various Artists	Electronic	Electronic	Nop Pop 2	1007	2002	100007	
Dmbq	Rock	Rock	Dmbq	1008	2002	100008	
4 P.M.	Acapella	Acapella	Sweet Soul	1009	2001	100009	
Various	Data		Frankfurt Trance Vol. 05 Cd1	1010		100010	
Â¾ã®â¸â°ã€ãœ Worship	Data		Child Praise Vol.1	1011		100011	
Rumania Montevideo	Pop	Pop	Mo' Better Tracks	1012		100012	
Modern Talking	Pop	Pop	Univers	1013	1997	100014	
Keedy	Data	Data	Chase The Clouds	1014		100015	
????	Rock	Rock	Subway Express	1015		100016	
Various	House	House	Micmac House Dance Party	1016	1996	100017	
Bill Evans	Data		Alone	1017	1968	100019	
Nature Destroyed	Data		Shades	1018		100020	
Pearl Jam	Hard Rock	Hard Rock	Yield	1019	1998	100021	
Dingdong Avanzado	Data		The Best Of Dingdong Avanzado	1020	1993	100022	
175r	Jpop	Jpop	Songs	1021	2003	100024	
Variousce Italiennes (disc 1)	Data		La \dolce Vita\ Les Tubes Dance Italiens / Les Chansons Dance Italiennes (disc 1)	1022		100025	
Day After Tomorrow	Pop	Pop	Elements	1023	2003	100026	
V.A	Ccm	Ccm	Ãƒã âºâ¹ (cd 09)	1024	2001	100027	
Jazz Signatures	Data	Data	Jazz Signatures	1025	1998	100028	
Bernadã¨te Bidã ude	Data	Data	Pomme D'amour	1026		100029	
Ã¥â±â±ã¥?â£ã§â„¢â¾ã¦?âµ	Jpop	Jpop	Disc13 Ã¨å â±ã£?â€“ã£?â€¹ã£â€šå	1027	2003	100030	
Spartak	Electronic	Electronic	Golem	1028	1990	100031	
<v8.5e	Data		<v8.5e	1029		100032	
Ã¥?â€šã¦å“â¬ã§å“å¸ã§â¶â¾	Pop	Pop	Lucy	1030	2001	100034	
Gazebo	Data		The Best Of Gazebo	1031	1994	100035	
Dj Irish	Trance	Trance	Assorted Trance Vol. 8	1032	2003	100036	
Sportfreunde Stiller	Data	Data	Die Gute Seite	1033	2002	100037	
Rennie Pilgrim Presents	Data	Data	Nu Skool Breakz 2	1034		100038	
Various	Sonytsid7008	Sonytsid7008	Salsaenlacalleocho'96	1035	2014	100039	
Barbara Streisand	Easy Listening	Easy Listening	A Love Like Ours	1036	1999	100040	
Italo House	Rave	Rave	12 In Mixes	1037		100041	
Deux	Data	Data	Forever	1038	2023	100042	
V.A.	Ã£â€šâµã£â€šâ¦ã£æ’â³ã£æ’â€°ã£æ’ë†ã£æ’â©ã£æ’æ’ã£â€šâ¯ (ã¤â¸â‚¬ã¨ë†â¬)	Ã£â€šâµã£â€šâ¦ã£æ’â³ã£æ’â€°ã£æ’ë†ã£æ’â©ã£æ’æ’ã£â€šâ¯ (ã¤â¸â‚¬ã¨ë†â¬)	Beating Surviver -another-	1039	2002	100043	
Various	Data	Data	Custom Music Cd	1040		100044	
Matsuka Phonics	Data	Data	Let's Study Phonics 2	1041	2002	100045	
Kool Savas	Deutsch Rap	Deutsch Rap	Euer Bester Freund Mix Cd	1042	2004	100046	
Robotika	Data	Data	Dance	1043		100047	
The Breeders	Rock	Rock	Pod	1044	1990	100048	
Johnny Hallyday	Data		Vol 4	1045	2016	100049	
Phallus	Metal	Metal	Reason	1046	2003	100050	
Ã¥â±â±ã¥â´å½ã£?â¾ã£?â€¢ã£â€šë†ã£?â€”	Jpop	Jpop	Home	1047	1997	100051	
Rolling Stones	Data	Data	Giant Stadium 17.08.1994 Cd 2	1048	1994	100052	
Ã¤ã®ã«ã¥ã°ã¤ Ã¹ã¬ Ã¤ã¢ã¸ã¥ã¡	Data	Data	Ã¤ã£ã¢ Ã°ã§ã¹	1049	2019	100054	
Nakama1	Speech	Speech	Cd5 Chapters 8&9	1050	Audio Cd Program	100055	
Various Artists	Dance	Dance	Essential Selection Winter 97 (cd1)	1051	1997	100056	
Ã©ë†â´ã¦å“â¨ã£?â€šã£?â¿	Jpop	Jpop	Infinity Eighteen Vol.1	1052	2000	100057	
Green Day	Data		Dookie	1053	1994	100058	
Ã§å¸â¢ã¦â²â¢ã¦â°â¸ã¥?â€°	Rock	Rock	Super Live Ã¦â€”â¥ã¦å“â¬ã¦â­â¦ã©?â€œã©â¤â¨ Disc 1	1054	1990	100059	
Various	Wh11109-2	Wh11109-2	Windhamhillsampler'92	1055		100060	
In Vanity We Trust	Synthpop	Synthpop	Posh	1056	1999	100062	
Various Artists	Data		An Audio Cd Of African-american Oral Traditions	1057	2007	100063	
Savage	Data		Tonight	1058	1984	100064	
Atmo Brtschitsch	Data		Change Your Life	1059	2003	100065	
Del Amitri	Rock	Rock	Twisted	1060	1995	100066	
Â¿â©ã‡ã _â½âºã„ã‰ã„â¡	Data	Data	8th	1061		100067	
Diversetion)	Data	Data	Zeitgeist: The Psychedelic Shack (future Funk And Beatsploitation)	1062		100068	
Nikos Hatzopoulos	Ethnic	Ethnic	The Aegean Violin	1063	1996	100069	
Perseguidos	Cumbia	Cumbia	Iii	1064	2004	100070	
Â¿ã€ããÿâ±ã¢ãˆâ¹	Contemporary Christian Music	Contemporary Christian Music	Â»ãµâºâ®â±ã¢âµâµâ¸â¦ Ã€â§ã‡ã‘ Â°ã¦ã€â½â¾ã‡ 6	1065	2002	100071	
Various Artistsry Cd2	Club	Club	Ministry Of Sound - Sessions Eight - Todd Terry Cd2	1066	1997	100072	
Les Vamps	Data		2 Eme Show	1067		100073	
Ã±ã¡ã®ã°ã­ã¨ãª	Pop	Pop	Absolutãã›ã‰ Ã•ãˆã’ 2	1068	2003	100074	
Buster B. Jones	Folk	Folk	Ballads & Barn Burners	1069	1999	100075	
V Rios	Folk	Folk	Folia De S O Jo O	1070		100076	
Franz Lambert	Folk	Instrumental	Franz Lambert Spielt Beliebte Evergreens	1071	1977	100077	
Leon Siu And David 'kawika' Kahiapo	Folk	Folk	Slack Key Praise	1072		100078	
Freikorps	Folk	National Folk	Kai Freikorps - Nordmann	1073		100080	
Detlef Jã¶cker	Folk	Vocal	Und Weiter Geht's Im Sauseschritt	1074		100081	
Barry Mcguire	Folk	Oldies	Eve Of Destruction	1075	1985	100082	
Â¼â¼â¹ãœã‡ã‘â¼ã’â¸â® Â±â¹â¾ã‡â¼â±â±â³â´ãœ	Folk	Folk	Â¼â¼â¹ãœã‡ã‘ Â¼ã’â¸â®	1076		100083	
Hana A Petr Ulrychovi	Folk	Folk	Nikola Suhaj Loupeznik	1077	2011	100084	
Primus	Folk	Gospel	Juletoner	1078	1995	100085	
The Pandanus Club	Folk	Folk	Ho'ike	1079		100086	
Tschou Zã¤me!	Folk	Folk	Wã¤ge Dir	1080		100087	
Clive Gregson	Folk	Folk	Comfort And Joy	1081	2009	100088	
Various Artists	Folk	Folk	Dorival Caymmi	1082		100089	
Gauchesco	Folk	Folk	Mano Lima	1083	2002	100090	
Marco Pereira	Folk	Folk	Elegia	1084	1990	100091	
Paveier	Folk	Folklore	Beinah (gefã¼hlsecht Und Lebensfroh)	1085	1993	100092	
Johnny Light	Folk	Folk	Verhaal Zonder Woorden	1086	2002	100093	
Keri Noble	Folk	Pop	Fearless	1087	2004	100094	
Peder Persson	Folk	Folk	Fã¶dselfest	1088	2001	100095	
Epo	Folk	Pop-folk	Poptracks	1089	1987	100096	
North Cregg	Folk	Folk	Summer At My Feet	1090	2003	100097	
Eleni Moraites	Folk	Folk	Rival	1091		100098	
Fabienne Thibeault	Folk	Folk	Les Plus Belles Chansons - Cd 2/2	1092		100099	
Sofi Marinova	Folk	Pop-folk	Osadena Liubov	1093	2002	100100	
Various	Folk	Folk	Ich Hab' Schlager Lieb	1094	1999	100101	
Justin Mcroberts	Folk	Folk/rock	Reason For Living	1095	1999	100102	
Varios	Folk	Folk	Time Well Spent '93	1096		100103	
Mary Black	Folk	Folk	Without The Fanfare	1097	1985	100104	
Arzu	Folk	National Folk	Ceylanim	1098	1999	100105	
Dunaways	Folk	Gospel	Beautiful Day	1099	2003	100106	
Indigo Girls	Folk	Folk	Shaming Of The Sun	1100	1997	100107	
Indigo Girls	Folk	Folk	Strange Fire	1101	1987	100108	
The Choir Company	Folk	Gospel	Laat Uw Grootheid Zien	1102	1997	100109	
Ciãºnas	Folk	Irish	Celtic Tiger	1103	2001	100110	
Isle Of Light	Folk	Celtic	Winters Welcome	1104	2002	100111	
Holly Near	Folk	Folk	Simply Love - Disc One	1105	2000	100112	
The String Cheese Incident	Folk	J A M	Untying The Not	1106	2003	100113	
Gerardo Peã±a	Folk	Folklore	Nada	1107		100114	
Lj Booth	Folk	Folk	The Ox That Pulls The Cart	1108	2002	100115	
Stefan Sundstrã¶m	Folk	Folk	Babyland	1109		100116	
Lovett, Lyle	Folk	Folk	The Road To Ensenada	1110	1996	100117	
Kisho, Real Selectah	Folk	Folk	Pssst Remix	1111		100118	
Rebecca St.James	Folk	Gospel	Pray	1112	1998	100119	
Ã£?â€¢ã£?â ã£?â¾ã£?â€¢ã£?â€”	Folk	Folk	Ã¤â¸â‚¬ã¤âºâºã§â„¢â¾ã¦â­å’ Ã¥â·â»ã¤âºå’	1113	2019	100120	
Iris	Folk	Indie	After School Special	1114	2010	100121	
Lanã§ando As Redes	Folk	Gospel	Grito Da Noiva	1115		100122	
Eugene Cole And Persuaded	Folk	Gospel	He Will Work It Out	1116	1999	100123	
Various Artists	Folk	Folk	Zlote Przeboje Polskiego Socjalizmu	1117	1999	100124	
Roger Fortner	Folk	Gospel	Quiet Time Hymns On The Guitar	1118	1998	100125	
Tom Paxton	Folk	Folk	Balloon-alloon-alloon	1119	1997	100126	
Franco Bleve & Canto Antico Della Nostra Terra	Folk	Folklore	Canzoni Brindisine	1120	1989	100127	
Various Artistse 2	Folk	Holiday - Christmas	Holiday Favorites, Christmas Collection Volume 2	1121	1998	100128	
Fnac Choice	Folk	Pop	Salute Flamenco	1122	2003	100129	
Leo Kottke	Folk	Folk	6- And 12-string Guitar	1123	1974	100130	
Tokio Uchida	Folk	Folk	Coconuts Clash	1124		100131	
Derecho De Madrid	Folk	Folk	De Madrid A Mexico Pasando Por Cuba	1125		100132	
All The Best From Russia	Folk	Folk	All The Best From Russia	1126		100133	
Songs 4 Worship	Folk	Christian	Holy Ground! - Disc 2	1127	1998	100134	
Various Artists	Folk	Folk	Populã¤re Musik Aus Griechenland	1128		100135	
Joan Baez	Folk	Folk	5	1129	1997	100136	
Marianne Kesler	Folk	Folk	All The Days Of My Life	1130	1997	100137	
Mustafa Sandal	Folk	Folk	Araba	1131	1999	100138	
Josã© Reza	Folk	Folk	Mais Que Saudades	1132		100139	
Liliana Herrero & Juan Falu	Folk	Folk	Leguizamon-castilla Por...	1133		100140	
Mã´ra-per	Folk	Folk-rock	Minnesmã¤rken	1134	1996	100141	
Garth Wilwand	Folk	Folk-rock	Eyes Of The Hurricane	1135	2001	100142	
Clannad	Folk	Celtic	Anam	1136	1990	100143	
Doe Maar	Folk	Folk	4us	1137	2008	100144	
Guzman	Folk	Pop	Guzmã¡n Y Cã­a	1138	1998	100145	
David Olney	Folk	Singer/songwriter	Top To Bottom	1139	1991	100146	
Flipper Dave	Folk	Folk	Flipper Dave	1140	1995	100147	
