artist	category	genre	title	tracks	year	id
Backstreet Boys	Blues	Pop	Millennium	1000	1999	10000
No Return	Data	Data	Self Mutilation	1002	2019	100002
Emanuel	Classic Portuguese Pop	Classic Portuguese Pop	Felicidade	1004	1998	100004
Luv Lite Massive	Electronic	Electronic	One Love	1006	2014	100006
Various Artists	Electronic	Electronic	Nop Pop 2	1007	2002	100007
Dmbq	Rock	Rock	Dmbq	1008	2002	100008
4 P.M.	Acapella	Acapella	Sweet Soul	1009	2001	100009
Modern Talking	Pop	Pop	Univers	1013	1997	100014
Various	House	House	Micmac House Dance Party	1016	1996	100017
Bill Evans	Bebop	Contemporary Post-bop	Alone	1017	1968	100019
Pearl Jam	Hard Rock	Hard Rock	Yield	1019	1998	100021
Dingdong Avanzado	Classic Opm	Opm	The Best Of Dingdong Avanzado	1020	1993	100022
175r	Jpop	Jpop	Songs	1021	2003	100024
Day After Tomorrow	Pop	Pop	Elements	1023	2003	100026
V.A	Ccm	Ccm	Ãƒã âºâ¹ (cd 09)	1024	2001	100027
Jazz Signatures	Data	Data	Jazz Signatures	1025	1998	100028
Spartak	Electronic	Electronic	Golem	1028	1990	100031
Gazebo	Data	Data	The Best Of Gazebo	1031	1994	100035
Dj Irish	Trance	Trance	Assorted Trance Vol. 8	1032	2003	100036
Sportfreunde Stiller	German Indie	German Indie Rock	Die Gute Seite	1033	2002	100037
Various	Sonytsid7008	Sonytsid7008	Salsaenlacalleocho'96	1035	2014	100039
Barbara Streisand	Easy Listening	Easy Listening	A Love Like Ours	1036	1999	100040
Deux	Dfw Rap	Dfw Rap	Forever	1038	2023	100042
V.A.	Ã£â€šâµã£â€šâ¦ã£æ’â³ã£æ’â€°ã£æ’ë†ã£æ’â©ã£æ’æ’ã£â€šâ¯ (ã¤â¸â‚¬ã¨ë†â¬)	Ã£â€šâµã£â€šâ¦ã£æ’â³ã£æ’â€°ã£æ’ë†ã£æ’â©ã£æ’æ’ã£â€šâ¯ (ã¤â¸â‚¬ã¨ë†â¬)	Beating Surviver -another-	1039	2002	100043
Matsuka Phonics	Data	Data	Let's Study Phonics 2	1041	2002	100045
Kool Savas	Deutsch Rap	Deutsch Rap	Euer Bester Freund Mix Cd	1042	2004	100046
The Breeders	Rock	Rock	Pod	1044	1990	100048
Johnny Hallyday	Chanson	French Pop	Vol 4	1045	2016	100049
Phallus	Metal	Metal	Reason	1046	2003	100050
Rolling Stones	Album Rock	British Invasion	Giant Stadium 17.08.1994 Cd 2	1048	1994	100052
Nakama1	Speech	Speech	Cd5 Chapters 8&9	1050	Audio Cd Program	100055
Various Artists	Dance	Dance	Essential Selection Winter 97 (cd1)	1051	1997	100056
Green Day	Modern Rock	Permanent Wave	Dookie	1053	1994	100058
In Vanity We Trust	Synthpop	Synthpop	Posh	1056	1999	100062
Various Artists	Data	Data	An Audio Cd Of African-american Oral Traditions	1057	2007	100063
Savage	Italo Disco	New Italo Disco	Tonight	1058	1984	100064
Atmo Brtschitsch	Data	Data	Change Your Life	1059	2003	100065
Del Amitri	Rock	Rock	Twisted	1060	1995	100066
Nikos Hatzopoulos	Ethnic	Ethnic	The Aegean Violin	1063	1996	100069
Perseguidos	Cumbia	Cumbia	Iii	1064	2004	100070
Various Artistsry Cd2	Club	Club	Ministry Of Sound - Sessions Eight - Todd Terry Cd2	1066	1997	100072
Buster B. Jones	Folk	Folk	Ballads & Barn Burners	1069	1999	100075
Franz Lambert	Folk	Instrumental	Franz Lambert Spielt Beliebte Evergreens	1071	1977	100077
Barry Mcguire	Folk	Oldies	Eve Of Destruction	1075	1985	100082
Hana A Petr Ulrychovi	Folk	Folk	Nikola Suhaj Loupeznik	1077	2011	100084
Primus	Folk	Gospel	Juletoner	1078	1995	100085
Clive Gregson	Folk	Folk	Comfort And Joy	1081	2009	100088
