Id	Album Id	Name
0	1000	Larger Than Life
1	1000	I Want It That Way
2	1000	Show Me The Meaning Of Being Lonely
3	1000	It's Gotta Be You
4	1000	I Need You Tonight
5	1000	Don't Want You Back
6	1000	Don't Wanna Lose You Now
7	1000	The One
8	1000	Back To Your Heart
9	1000	Spanish Eyes
10	1000	No One Else Comes Close
11	1000	The Perfect Fan
12	1000	I'll Be There For You
13	1001	Dj Tom Stevens Vs. Fridge - Outface 2000 (radio Mix)
14	1001	Alice Deejay - Better Off Alone (signum Remix)
15	1001	Tillmann Uhrmacher Feat. Peter Ries - Bassfly (original Mix)
16	1001	Dj 2 L 8 - Too Late
17	1001	Time Square - Invisible Girl (future Breeze Remix)
18	1001	Cirillo - Across The Soundline
19	1001	Dj Leon & Jam X - Hold It
20	1001	Sean Dexter - Synthetica (extended Mix)
21	1001	Dj Bjã¶rn - On A Mission (original Mix)
22	1001	8voice - Music Hypnotizes 2000
23	1001	Alex Apollo - Jahr 2000
24	1001	Headroom - Utopia (radio Mix)
25	1002	Do Or Die
26	1002	Truth And Reality
27	1002	Lost
28	1002	Soul Extractor
29	1002	Sadistic Desire
30	1002	The True Way
31	1002	Fanatic Mind
32	1002	Individualistic Ideal
33	1002	One Life
34	1002	Trail Of Blood
35	1002	Sect
48	1004	Felicidade Quando O Telefone Toca
49	1004	Vem Bailar O Tic Tic
50	1004	Quero Que Sejas Minha E De Mais Ninguem
51	1004	Eu Sei Que Me Amas
52	1004	O Melhor Que Hã¡
53	1004	Minha Vizinha Deixa Me A Bater Mal
55	1004	Sã³ Quero O Teu Carinho
57	1004	Serã¡s Sempre Minha
59	1004	Mix
72	1006	Temple Of Dehli
73	1006	From Naw Till A Mornin'
74	1006	Shock
75	1006	Afghani
76	1006	Lick You Bad
77	1006	Freestyle
78	1006	Fiki Fuko
79	1006	I'm Here
80	1006	Yeah!
81	1006	Ww5
82	1006	One Love
83	1007	Golden Boy Miss Kittin_rippin Kittin
84	1007	Norther Lite_treat Me Better
85	1007	Peaches_lovertits
86	1007	Mã¤rtini Brã¶s_flash
87	1007	Kristall_das Leben Im Jetzt
88	1007	Slam_lifetimes
89	1007	Autotune_capital Killers
90	1007	E-man_animal Skin
91	1007	Marc Verbos_special Friend
92	1007	Lasse Lundmark_coca Bass
93	1007	Flash Und Gordon_frauen In Autos
94	1007	Dan Maxem Vs Polygen_tiefoderhoch
95	1007	Green Velvet_la La Land
96	1007	Frank Mã¼ller Vs Takkyu Ishino
97	1008	Small Hours
98	1008	Rock-a-cola
99	1008	Ohh! Baby
100	1008	Teenage Limbo
101	1008	Little Leaf I)movement
102	1008	Little Leaf Ii)swell
103	1008	Little Leaf Iii)etude
104	1008	Sayonara-no Season
105	1008	Altered Rock
106	1008	Can Peace
107	1008	Migrate To Midnight
108	1008	E (means Eternal)
109	1008	###data Track###
110	1009	Miagetegoran Yoruno Hoshio
111	1009	Woman
112	1009	Cherish
113	1009	Tears In Heaven
114	1009	So Much In Love
115	1009	Christmas Eve
116	1009	Too Much Heaven
117	1009	I Left My Heart In San Francisco
118	1009	The Lady In My Life
119	1009	Christmas Medley
120	1009	The Star-spangled Banner
121	1010	Dj Tom Stevens - Violet Steam (single Cut)
122	1010	Liquid Child - Diving Faces (original Mix)
123	1010	Vimana - We Came (edit)
124	1010	Lac Terra - After Dark (fridge Vs. Vectrex Remix)
125	1010	Steve Baltes - Thoughts (original Mix)
126	1010	Star Party - I'm In Love (ferry Corsten & Robert Smit Rmx)
127	1010	Gate Iv - Give All You Got (radio Edit)
128	1010	Dj Stigma - Baby Sunshine (stig's Original Club Mix)
129	1010	Synchronic Minds - All I Need (club Mix)
130	1010	Astral Inc. - Remember (green Court Edit)
131	1010	X-trance - Friends 2000 (tom Stevens Rmx)
132	1010	Ravelab - Send Me An Angel (club Mix)
145	1012	I'll Be With You
146	1012	Hard Rain
147	1012	Free
148	1012	Tender Rain
149	1012	Rain
150	1012	Sleeper
151	1012	Life Style
152	1012	Taxi
153	1012	Take My Pain Away
154	1012	My Life (album Version)
155	1012	All By Myself
156	1012	Start All Over Again (album Version)
157	1013	Tv Makes The Superstar
158	1013	Iâ´m No Rockefeller
159	1013	Mystery
160	1013	Eyerybody Needs Somebody
161	1013	Heart Of An Angel
162	1013	Who Will Be There
163	1013	Knocking On My Door
164	1013	Should I, Would I, Could I
165	1013	Blackbird
166	1013	Life Is So Short
167	1013	Nothing But The Truth
168	1013	Superstar
169	1014	Save Some Love
170	1014	Wishing On The Same Star
171	1014	Never Neverland
172	1014	Sorry
173	1014	Only Your Heart
174	1014	Gettin' Around
175	1014	Don't Turn Away
176	1014	Pretty Boy
177	1014	Mama
178	1014	Lazy Day
179	1014	Save Some Love (hot Remix)
194	1016	Colonel Abrams / I'm Caught Up
195	1016	Zhana / Can't Stop Dancin'
196	1016	Camille / My Love Will Set You Free
197	1016	Bmc / A Night At The M.Vol.2
198	1016	No Joke / Feel The Music
199	1016	House Factor / Movin' And Groovin'
200	1016	Diva Diva / Boy, I Told You So
201	1016	Hippie Culture / Accelerator (can You Feel It)
202	1016	Mixmaster / Love Machine
203	1016	D.J. Professor / Runner
204	1016	Supreme Mind / It's Over Now
205	1016	Motivation Featuring Lee Truesdale / Keep In Touch
206	1017	Here's That Rainy Day
207	1017	A Time For Love
208	1017	Midnight Mood
209	1017	On A Clear Day (you Can See Forever)
210	1017	Never Let Me Go
211	1017	The Two Lonely People (aka The Man And The Woman)
212	1017	Here's That Rainy Day (alternative Take)
213	1017	A Time For Love (alternative Take)
214	1017	Midnight Mood (alternative Take)
215	1017	On A Clear Day (you Can See Forever) (alternative Take)
216	1017	Never Let Me Go (alternative Take)
217	1017	Medley: All The Things You Are / Midnight Mood
218	1018	Enter The Realm
219	1018	Dream Of Fear
220	1018	Word Of Trust
221	1018	Unforeseen Desire
222	1018	Shades
223	1018	Bound
224	1018	Imprisoned
225	1018	Cold Vengeance
226	1018	Disease
227	1018	Leaving The Shadow
228	1019	Brain Of J.
229	1019	Faithfull
230	1019	No Way
231	1019	Given To Fly
232	1019	Wishlist
233	1019	Pilate
234	1019	Do The Evolution
235	1019	(untitled)
236	1019	Mfc
237	1019	Low Light
238	1019	In Hiding
239	1019	Push Me, Pull Me
240	1019	All Those Yesterdays
241	1020	Ikaw Lamang
242	1020	Tatlong Beinte Singko
243	1020	Maghihintay Sa Yo
244	1020	Makapiling Ka Sana
245	1020	Break Kung Break
246	1020	Love At First Sight
247	1020	Basta't Kasama Kita
248	1020	Paano Sasabihin
249	1020	Here I Am
250	1020	I Think I Love You
251	1020	Bakit Hangang Ngayon
252	1020	Say Amen
253	1021	Inst.
256	1021	Party
264	1021	Cccd Data
265	1022	Boys (summertime Love) - Sabrina
266	1022	One For You, One For Me - La Bionda
267	1022	I'm A Lover - Andrea
268	1022	Dolce Vita - Ryan Paris
269	1022	Tarzan Boy - Jungle Boy
270	1022	Masterpiece - Gazebo
271	1022	Comanchero - Moon Ray
272	1022	Don't Cry Tonight - Savage
273	1022	Disco Band - Scotch
274	1022	Around My Dream - Silver Pozzoli
275	1022	Future Brain - Den Harrow
276	1022	B-project - Pink Project
277	1023	High-spirit
278	1023	Time Of Destiny
280	1023	Sentence
281	1023	Stay In My Heart
282	1023	Oval
283	1023	Losing Myself
284	1023	Funny Days
285	1023	Morning Glow
286	1023	Grow
287	1023	Naturally
288	1023	Flower Of Youth
301	1025	(duke Ellington) Take The A Train
302	1025	(artie Shaw) Begin The Beguine
303	1025	(glenn Miller) In The Mood
304	1025	(duke Ellington) Mood Indigo
305	1025	(fats Waller) Ain't Misbehavin'
306	1025	(jelly Roll Morton) Orginal Jelly Roll Blues
307	1025	(louis Armstrong) Basin Street Blues
308	1025	(original Dixieland Jazz Band) Tiger Rag
309	1025	(dizzy Gillespie) Night In Tunisia
310	1025	(benny Goodman) Sing, Sing, Sing
311	1025	(duke Ellington) Cotton Tail
312	1025	(coleman Hawkins) Body And Soul
313	1025	(lena Horne) Stormy Weather
314	1026	Ouverture
315	1026	Margot
316	1026	Les Paroles Gelã©es
317	1026	Le Banquet
318	1026	Belle D'un Bord
319	1026	Adã¨le
320	1026	Trente-six Pã©pins
321	1026	La Quãªte D'adã¨le
322	1026	Ambroise
323	1026	Le Pommier Extraordinaire
324	1026	La Quãªte D'ambroise
335	1027	1 2/3
338	1028	Sigo Viviendo
339	1028	Leconseil Lunaire
340	1028	Naprzod/vorwã¤rts
341	1028	Tiden
342	1028	Seerã¤uberjenny
343	1028	Pour Le Grec
344	1028	I Hate You
345	1028	(excited) Body Beat
346	1028	Elven Song
347	1028	F*** The Army
348	1028	Love-letter For Michelle
349	1028	Ciao, Ciao Ceaussescu
351	1029	3\8. 3\8.
358	1029	3/
360	1029	So In Love
361	1029	If You Want My Lovin'
362	1029	Pass Me The Mic
363	1029	Someday
364	1030	Lucy
370	1030	Life Is Good
371	1030	Honey Bunny
